X,738_cm,693_cm,582_cm,566_cm,532_cm,382_cm,283_cm,233_cm,213_cm,187_cm,153_cm,40_cm,3_cm,Sum,taxonomy,a,b,c,d
5905ca10c84a5f7c44794787e267d709,52,11670,11405,9242,27851,19844,6529,10325,20474,13645,5051,118,0,144568,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
5235c94bec4449ab24f0cf5e33573c9e,360,3216,11976,6542,10330,10831,16755,18559,16538,19304,3295,3796,102,126244,Atribacteria,,,,
2c8cd564816d25466d847e4d2315dec6,0,867,3026,1346,1596,1224,1179,1801,2381,1750,98,622,0,17113,Chloroflexi,Dehalococcoidia,Dehalococcoidales,,
f8ed446c8a4178b42e498e22ff753f0a,7458,4556,244,34,93,63,175,412,453,370,124,57,0,14147,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
fe807a62e613d6691b2b0d31ee91c0ba,468,1065,1390,905,1408,1500,1633,1168,883,654,213,1269,0,13778,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella
474d8da993feac5e7f43c7d2b1b28fb1,2631,8038,167,0,0,917,218,224,73,106,49,598,0,13622,Firmicutes,Clostridia,Clostridiales,Peptococcaceae 2,Cryptanaerobacter
09aa1ca31a007d15d627d9f1e207c62e,2549,5568,1940,384,644,851,81,230,255,366,249,233,0,13611,Aminicenantes,Saccharicenantaceae,Saccharicenans,,
acb348430b6bdccf7fecd4de4ef65d9b,0,887,2989,299,1329,1165,628,1227,852,746,0,22,0,11113,Chloroflexi,Thermoflexia,Thermoflexales,Thermoflexaceae,Thermoflexus
9135822242625804aa81fdfd7cda421a,142,215,0,648,839,1307,1374,925,2090,1197,252,510,0,9958,Chloroflexi,Thermoflexia,Thermoflexales,Thermoflexaceae,Thermoflexus
c33cb7d85a73f4fb842040bab52c8526,3423,2278,777,266,619,431,338,477,238,208,99,28,0,9644,Crenarchaeota,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum
c49ba5579338cc9d2fe8ce28f5ced0ba,0,26,996,740,1367,432,400,713,820,2778,160,49,0,8910,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
693743029a33f9a083e22dc1fdee5917,48,1719,2805,1020,366,195,1069,522,203,352,158,0,0,8550,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
485d314d50e3568a6d489eb4cc5e45ea,200,1314,1405,754,903,863,451,364,226,91,16,0,43,7583,Bacteroidetes,Bacteroidia,Bacteroidales,,
2cff865af43e8bf3b5efa7ed8dc8c48a,260,657,1152,579,1161,547,206,232,1230,280,112,328,5,7166,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium
2aa3f04d0794cb2a362eec2811e7751a,1554,272,225,154,1550,231,125,641,425,1361,216,115,0,6932,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
fb5170e4a4d0050bb8e2fff8242f01a1,653,879,477,240,695,690,349,251,106,167,22,35,0,5948,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
f34330ee2aebcb21349142a5edfd579d,0,0,0,0,86,714,1761,1028,1281,959,44,0,0,5892,Firmicutes,Clostridia,Clostridiales,Peptococcaceae 2,Cryptanaerobacter
d3709310b940f275e8ffafa86453b611,713,635,177,64,196,1045,662,228,313,294,30,128,0,5355,Aminicenantes,Saccharicenantaceae,Saccharicenans,,
231ce6b7c1aea459d057f4fb263d2eb0,0,18,905,484,908,15,402,689,421,562,159,444,306,5313,Aminicenantes,Saccharicenantaceae,Saccharicenans,,
fe265a8a0ce6dff1d30fff6962280288,2150,1426,504,277,0,206,239,0,0,0,0,0,0,5147,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Calderihabitans
60862220117a8f403caacbf6963b4511,223,584,783,601,992,287,324,296,58,90,0,80,0,4740,Aminicenantes,Saccharicenantaceae,Saccharicenans,,
872e0ec43098f9515af4d4aabe0c706d,713,359,556,301,468,984,275,165,86,109,33,114,0,4713,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea
08320f682d9f3f3d2984250f6c8b8000,0,35,271,420,377,700,1017,518,47,79,0,14,0,4646,Acidobacteria,Acidobacteria_Gp13,Gp13,,
6abeb35f183df6536bd47833d67785b0,0,7,1049,935,479,504,257,349,222,243,0,0,0,4546,Chloroflexi,Thermoflexia,Thermoflexales,Thermoflexaceae,Thermoflexus
39e74a856d51b1eab200ffa58959e011,168,68,368,135,126,208,380,243,211,262,77,1183,919,4429,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Prolixibacter
a5f39b567b5701c7425e3fb393fefe02,878,730,501,260,257,239,116,155,95,278,62,413,7,4097,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Rectinema
e1e1395deda5bd78e74cd343d3bc00b0,0,0,123,120,283,288,462,414,200,777,89,459,59,3674,Aminicenantes,Aminicenantes_genera_incertae_sedis,,,
0ab48ef6f76a58f78c0fa1a7c8476c6d,7,1471,0,1135,246,289,105,36,66,238,0,0,0,3623,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella
9c826072d75928d1938b5a48afb6936d,331,158,224,193,59,383,619,373,297,381,32,292,0,3613,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea
c2876380fccf72c3ccf79e6d092ffb71,427,334,265,191,330,292,203,182,282,252,83,505,150,3566,Euryarchaeota,Thermoplasmata,Methanomassiliicoccales,Methanomassiliicoccaceae,Methanomassiliicoccus
522e9fa75219ddcbcac5db0570b2454f,689,73,145,96,108,146,180,182,320,240,91,912,72,3254,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Marispirochaeta
ac7d951abf423d6a666cfc36e954decc,6,0,30,516,41,426,787,355,225,153,8,149,0,2960,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
79b0aed8e0eaf9cb02a9264a26f2437d,584,1642,379,34,55,84,31,27,0,0,0,0,0,2919,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Bellilinea
b0d29cdda2e53e1fe197fc1dabd44a66,0,0,1050,0,0,0,1253,577,0,0,0,0,0,2880,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
62ea3b8c73c9c51ed7c0af1c00381b5d,234,145,349,314,420,346,0,83,337,54,67,238,0,2739,Planctomycetes,Phycisphaerae,Sedimentisphaerales,Anaerohalosphaeraceae,Anaerohalosphaera
12a1916563841c92cf8ada3da1493998,75,83,353,331,232,254,544,142,0,66,0,204,0,2634,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalogenimonas
6c254b319b1ca3e2adb1d13063adf335,0,154,203,255,210,346,607,296,130,89,0,0,0,2615,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea
017c4a6a4e9d92f9efdaf9924c8bb1be,414,0,332,139,208,265,371,201,140,0,0,184,0,2525,Proteobacteria,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Dethiosulfatarculus
de67da3bfdfa9fd351cdc0058708fc45,249,660,316,157,64,184,177,123,155,123,41,121,0,2509,Chloroflexi,Dehalococcoidia,Dehalococcoidales,Dehalococcoidaceae,Dehalococcoides
11d284a2e5b9b2b2a8c69f23ad2ca7c9,0,0,0,0,0,0,0,0,0,0,0,2051,385,2436,Thermodesulfobacteria,Thermodesulfobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Geothermobacterium
334fef9f97825bba3c1c458c71c71341,63,55,216,358,272,362,435,196,97,106,12,0,0,2400,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera
5f1d12e845b089e083e705cc23766b94,0,39,142,1089,217,167,0,0,0,0,0,0,0,2367,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoclostridium
2be4bab3046b930973578966d29f9875,15,73,42,170,284,213,99,120,467,226,28,0,0,2314,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Smithella
7182f4e796e3a6af2cb7365e685bb229,0,0,338,671,0,545,371,133,0,22,0,0,0,2298,Fibrobacteres,Chitinispirillia,Chitinispirillales,Chitinispirillaceae,Chitinispirillum
298417912fec9e8b409f416f98079fe9,0,0,40,139,0,183,300,313,170,408,22,527,96,2271,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Leptolinea
1661f496409f94fc773c014defb39512,77,171,171,163,102,369,415,235,113,146,36,78,0,2259,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Hydrogenispora
